abilitet	ability
anulera	cancel
anulering	cancellation
anunserad	announced
aparatt	appliance
aparatt	apparatus
aparent	apparent
aparentlig	apparently
aparta	Apart
apartament	apartment
ape	monkey
apel/a	appeal
apell/apela	appeal
apelsin/oransje	orange (n/adj)
apendiks	appendix
apera	appears
apera	appear
aperad	appeared
apering	appearance
aperitiff	aperitif
apetitlig	appetizing
apetitt	appetite
apetitveker	appetizer
aplaus	applause
aplika	apply
aplika	apply
aplikad	applied
aplikasjon	application
aplikasjon	application
apotek	pharmacy
apotek	drugstore
apoteker	pharmacist
apresiasjon	appreciation
apresiera	appreciate
aprikos	apricot
april	April
aproba	approve
aproksimadt, ungeferr	approximately
apropriera	appropriate (v)
apropriera	appropriate (v)
aprosj/a	approach
arabisk, arab	Arab
arbejd/anstrenga sej	Labor (n/v)
arbejder	laborer
arbejds-besparande	labor-saving
arbet	employment
arbet/arbeta	work
arbetad	worked
arbetande	working
arbetar/fabrik	works
arbeterar	workers
arbetsgiver	employer
arbetslös	unemployed
arbetslöshet	unemployment
areal	area
arealar	areas
Argentina	Argentina
argentinsk	Argentinian
argument	argument
argument/diskusjon	argument
arkade	arcade
arkeolog	archaeologist
arkeologi	archaeology
arkitekt	architect
arkitektur	architecture
arkiv	archives
arm/bevepna	arm
armar/vepnar	arms
armbandsur	wristwatch
armbond	bangle
armbond	bracelet
armej	Army
aroma	aroma
arr	scar (n)
arterie	artery
artikel	article
artisjokk	artichoke
artist	artist
artistar	artists
artistisk	artistic
arving	heir
asbest	asbestos
asfalt	asphalt
asiatisk	Asian
Asien	Asia
asill	asylum
asistent	assistant
asje	ash
asosiasjon, forening	Association
asosjad, forenad	Associated
asparges	asparagus
aspektar	ASPECTS
aspira	aspire
aspirin	aspirin
astma	asthma
astronomi	astronomy
asuma	assume
asumad	assumed
atakk/a	attack
ateism	atheism
ateist	atheist
atensjon	attention
atentiv	attentive
atlete	athlete
atletika	athletics
atletisk	athletic
atmosfera	atmosphere
atmosfera	atmosphere
atom	atom
atom-	atomic
atraksjon	attraction
atrakta	attract
atraktiv	attractive
att	to (in order)
aubergine	eggplant
auditorium	auditorium
august	August
auksjon	auction
Australia	Australia
australisk/australier	Australian (a/n)
automatisering	automation
automatisk	automatic
autonom	autonomous
autopsie	autopsy
autorisasjon	authorization
autorisera, berettiga	authorize
autoriterr	authoritarian
autoritet	Authority
autorr	author
av	of
avalansj	avalanche
avans/era	advance
avansert	advanced
avantasje	advantage
avdrag	instalment
aveniu	avenue
averta	avert
avfall	garbage
avfall	litter (n)
avfall	refuse (n)
avfall	rubbish
avfall-kasse	rubbish bin
avgifter	dues
avgrund	abyss
avis	newspaper
aviskiosk	newsstand
avjon	Aircraft
avjon	plane
avjon	airplane
avkasta/avkastning	yield (v/n)
avla	beget
avling	crop
avling	harvest (n)
avrejsa	depart
avrejse	departure
avrundad	rounded (adj)
avsenda	despatch
avsenda/e	dispatch (v/n)
avsides	aside
avsikt	purpose
avsiktar	purposes
avsjuelig	hideous
avslapet	easy-going
avsluta/slutt	finish (v/n)
avslutning	ending
avspark	kickoff
avstand, distans	distance
avstandsmoler	rangefinder
avtriuker	trigger
avvika	deviate (v)
avvikelse	aberration
avvikling	deviate (n)
baby	baby
bad	bath
bad-drakt	swimsuit
bada	bathe
badbalje	bathtub
badbiuksar	swimming trunks
badested	seaside resort
bagasj	baggage
bagasje	luggage
bajt	byte
baka	bake
bakbejn	backbone
baker	baker
bakeri	bakery
bakgrund	background
bakgrunn	background
bakke	hill
bakketop	hilltop
baklangs	backwards
bakliukte	tail-light
bakom	behind
bakon	bacon
bakside/uppveksa	rear (n/v)
baksmert	backache
bakterie	bacterium
bakvaskelse	slander (n)
bakverk	pastry
balans	balance
balanse/saldo	balance
balett	ballet
balje	tub
balkong	balcony
ball	ball
ballong	balloon
balsal	ballroom
bambuss	bambu
banann	banana
band speler	tape recorder
bandasj	bandage
bande, gjeng	gang
banditt	bandit
banga/banging	bang (v/n)
banga/banging	knock (v/n)
bank	bank
bankett	banquet
bankettsal	banquet-hall
banna/banning	curse
bar	saloon
bar	pub
bar	Bar
bar-tender	bartender
bar-tender	barman
bar/stang	bar
barber-börste	shaving brush
barber-krem	shaving cream
barber-masjinn	shaver
barber-sope	shaving soap
barbera (sej)	shave
barberblad	razor blade
barberkniv	razor
bare	solely
bariere	barrier
bariton	baritone
bark/göa	bark
barmhjertig	merciful
barmhjertighet	mercy
barn	child
barn, unge	kid
barn/skröna	kid (n/v)
barnar	children
barndom	childhood
barnehage	kindergarten
barnerum/planteskole	nursery
barnevakt	babysitter
barnevogn	pram
barokk	baroque
barometer	barometer
barpika	barmaid
bas	bass (mus)
basarr/retferdig	fair (n/a)
base/ra	base
baseball	baseball
basilika	basilica
basill	germ
basis	basis
bastard	bastard
batel, slag	battle
bateri	battery
bea	ask for
bebrejdelse/bebrejda	reproach (n/v)
beda	pray
bedra	deceive
bedrag	deceit
begavet	gifted (a)
begerr/begera	lust (n/v)
begina	commence
begina	begins
begina	begin
beginad	began
begining	beginning
begovad	talented
begrava	bury
begravning	burial
begravning	funeral
begrundad	based
behagelig	agreeable
behagelig	pleasing
behandlad	treated
behandling	treatment
behöv/a	need (n/v)
behövad	needed
behovar	needs
bejn	bone
bejn-sterker	splint
bejta	graze (animals)
bek	brook
bekiumer	anxiety
bekjent	acquaintance
belegring	siege
belgien	Belgium
belgisk/belger	Belgian (a/n)
beliusning	lighting (n)
belöna/belöning	reward (v/n)
belte	belt
ben	leg
benar	legs
benefit/a	benefit
benefit/era	benefit
benk	bench
benklerr	slacks
bensin pumpe	fuel pump
bensinn	petrol
bensinn	gasoline
ber	berry
bera	carry
bera	wear
bera po	depend on
berad	carried
berad	wore
berande	carrying
berej	beret
beröm/a	praise (n/v)
berömmad	famous
berömning	fame
beröra/beröring	touch (v/n)
besatt	possessed (adj)
beskatning	taxation
beskriva, deskriva	describe
beskrivad, deskrivad	described
beskrivning, deskripsjon	description
beslutad, desiderad	decided
best	best
bestefar	granddad
besteforeldrar	grandparents
bestiga/berg	mount (v/n)
bestikka	bribe
bestikkning	bribery
bestira	manage
bestirerinne/elskerinne	mistress (funct)
bestirlig	manageable
bestoa av, konsista av	consist of
besvima/svak, vag	faint (v/a)
betala	pay (v)
betalad	paid
betalbar/ventad	DUE
betaling	payment
bete	beet
beter	better
beundrer	fan, admirer
bevepnad	armed
bever	beaver
bevetad, konsjös	conscious
bevethet, konsjösnes	consciousness
bevetslös	unconscious
bevilga/stipend	grant (v/n)
bevilgad	granted
bevisa	prove
bevisad	proved
beviss	proof
bibel	Bible
bibliotekk	Library
bie	bee
biff	steak
biga	build
bigg	barley
bignad	built
bigning	building
bigningar	BUILDINGS
bikube	beehive
bil	automobile
bil	motor-car
bil	car
bilar	cars
bilde	image
bile	beetle
bilett	ticket
bilettpris	fare
bilig	cheap
bilig	inexpensive
bilisme	motoring
bilist	motorist
biljard	billiards
biljon	billion
binda	bind
binda, kniuta/slips	tie (v/n)
bindestrek	hyphen
biologi	biology
bit	morsel
bit	scrap
bit, stuke	piece
bit/bitad	bit
bita	bite
bitar	pieces
bitte litel	minute (adj)
bitter	bitter
bitumin, asfalt	bitumen
biul	abscess
biurde	burden
biuta	swap
björn	bear (n)
blad	blade
blad	leaf
blad	sheet (paper)
blad gull	gold-leaf
bladsalat	lettuce
bland, melan	among
blank	blank
blazer	blazer
bleje	diaper
bleje	nappy (diaper)
blek	pale
bleke/bleka	bleach
blekk	ink
blekna, falma	fade
bleme	blister
blere	bladder
blia	become
blia	becomes
bliande	becoming
blik	glance
blind/blinda/persienn	blind
blindgate	cul-de-sac
blitzlampe	flashbulb
bliu	lead (metal)
bliu	lead (metal)
bliva	stay
blivad	became
blivad	stayed
blixtlos	zipper
blixtlos/blixtla	zip (n/v)
blo	Blue
blo merke	bruise
blöa	bleed
blod	blood
blodkar	blood-vessel
blödning	hemorrhage
blok/era	block
blomar	flowers
blomar-butikk	flowershop
blomarbed	flowerbed
blomkol	cauliflower
blondine	blonde
blosande	gusty
blosig	windy
blosjel	mussel
bluant	pencil
bluantskarpner	pencil-sharpener
bluse	blouse
boble	bubble
bode	both
böja	flex (v)
böjelig	flexible
bok	book
bök	beech
bokar	books
bokhandel	bookstore
bokhandler	bookseller
bokk	tick (n)
bokstand	bookstand
bol/bal	ball
Bolivia	Bolivia
boliviansk/bolivian	Bolivian (a/n)
bolle	bowl
bolle	basin
bolt	bolt
bombe/bombardera	bomb
bön	prayer
bond	leash
bond	ribbon
bond/orkester	band
bönne	bean
bor/trening	drill (n)
bora/keda	bore
bora/trena	drill (v)
bord	table
bordduk	tablecloth
borde	ought to
borde	should
bordell	brothel
bordtenis	ping-pong
borgerar	citizens
borgermester	mayor
börk	birch
börste/börsta	brush
bort	away
borta	gone
bortom	beyond
boss, sjef	boss
bot	boat
bot-sted	slip (naut)
botanikk	botany
böua/böuning	bend
böuad	bent
böue	buoy
böulig	supple
bowling	bowling
bra!	all right!
brannalarm	fire-alarm
brannbrigade	fire-brigade
brannekstingerer	fire-extinguisher
brannsikker, ildfast	fireproof
brannsted	fireplace
brannungo	fire-escape
brant	steep (a)
brasiliansk/brasilianer	Brazilian
Brasilien	Brazil
bred	WIDE
bred	broad
bredara	widen
bredd, demning	embankment
bredt	width
breke	fracture
brekkjern	crowbar
bremse	brake
brenevin	liquor
brenna	burn
brennpunkt	focus
brensel	fuel
bret, planke	Board
brev/bokstav	letter
brevar/bokstavar	letters
brevpaper	notepaper
brevpaper	writing paper
brike	tray
brilar, öje-glasar	spectacles
bringa	bring
bringaberr	raspberry
bringad	brought
bris	breeze
brita/britning	break
britad	broke
britad	broken
britisk	British
bro	bridge
bröd	bread
bröd	loaf (n)
brodera	embroider
broderi	embroidery
brok	hernia
brok, upstir	fuss (n)
bröla	roar
brölop	wedding
bronkitt	bronchitis
bronse	bronze
bror	brother
brorskap	brotherhood
brorskap	fraternity
brosje	brooch
brosjure	brochure
brud	bride
brudgom	gridegroom
bruga	brew
brugeri	brewery
bruk	usage
bruk/a	use (n/v)
bruka, utilisera	utilize
bruka/brukar	uses (v/n)
brukad	second-hand
brukad	used
brukande	using
brukbar	useful
brukbar	usable
brukbar/anfal/pasa	fit
brukbarhet	usefulness
bruker	user
bruklös	useless
bruksam	useful
brulupsrejse	honeymoon
bruma	growl (v)
brun	Brown
brun	well (n)
brunette	brunette
brusing	fizz
brusk	cartilage
brust	breast
brust	bosom
brust/kiste	chest
brustholder	brassiere
brustsviming	breaststroke
brutal	brutal
bu	booth
bua	dwell
Buddhe	Buddha
buddhisk, buddhist	Buddhist
buddhism	Buddhism
budget	budget
bue	bow (bou)
bugsera/bugserbot	tug (v/n)
bugt	Bay
buka	bow (bau) (v)
bukett	bouquet
bukett/flok	bunch
buksedrakt	pants-suit
Bulgarien	Bulgaria
bulgarisk/bulgar	Bulgarian (a/n)
bun	bottom
bunke/ra	batch
bunt/a	bundle
buntmaker	furrier
bur	cage
burblera	burble
burk, konservburk	tin (can)
buro	Agency
buroar	agencies
burokrati	bureaucracy
bus	bus
busj	shrub
busk	bush
buste	bust (n)
butikk	boutique
butikk/handla	Shop (n/v)
Chile	Chile
chilensk/chilener	Chilean
Colombia	Colombia
colombiansk/colombian	Colombian
da er	That's
da, altso	then
dag	day
dagar	days
dagbok	diary
daggriu	dawn
daggriu	daybreak
dagis	daycare center
daglig	daily
dagslius	daylight
dagsorden	agenda
dal	Valley
dame	Lady
dame-toalett	powder room
dametoalett	ladies'room
dameunderkledar	lingerie
dampöl	pond
damspil	checkers
damspilbret	checkerboard
Danmark	Denmark
dans/a	dance
dansk	Danish
dansk	Dane
datamasjin	computer
dato/datera/dadel	date
datter	daughter
datter	daughter
dattersdatter, sonsdatter granddaughter
dauisk/dauist	Taoist
dauism	Taoism
daven	lazy
de	The
de er	it's
de tropikar	tropics
debatt	debate
debet	debit
dedika	dedicate
defektiv	defective
defektiv	faulty
defenda, forsvara	defend
definera	define
definisjon	definition
definitt	definite
defisit	deficit
deformad	deformed
dej	dough
deje der, dom der	those
deje er	they're
deje her, dom her	these
deje, dom	they
dejes, doms	their
dejg	batter
dejsjelvar	themselves
dek	tire (n)
dekk	deck
deklarasjon	declaration
deklarera	declare
deklarerad	declared
dekorasjon	decoration
del, porsjon	portion
del/a aksje	share
del/partera	part (n/v)
dela ut/handla med	deal (v)
dela, dividera	divide
delad, dividerad	divided
delar, partar	parts
delegasjon	delegation
delibera	deliberate (v)
deliberasjon	deliberation
delikasi	delicacy
delikatesse	delicatessen
delikatt	delicate
deling, divisjon	division
delisjös	delicious
deltaka	participate
deltaker	participant
dem	them
demand/a	DEMAND
demandar	demands
demning	dam
demokrati	democracy
demokratisk	Democratic
demolera	demolish
demolisjon	demolition
demonstrasjon	demonstration
demonstrera	demonstrate
den/som	that
denna	this
denominasjon	denomination
dentist	dentist
deodorant	deodorant
departement	Department
departement	ministry
dependent	dependent
depositum/deponera	deposit (n/v)
depresjon	depression
deprimera	depress
deprimerande	depressing
deputert	deputy
der	there
der er	there's
derfor	therefore
desember	December
desert	desert (n)
desertera	desert (v)
deserva	deserve
desidera, bestemma	decide
desinfisera	disinfect
desinfiserant	disinfectant
desirabel, önskelig	desirable
desisjon	decision
desjelv	itself
dessert	dessert
dessuten	furthermore
destina	destine
destinasjon	destination
destinie	destiny
destruksjon	destruction
desuten	Besides
det	it
detalj	detail
detaljad	detailed
detaljar	details
detekta	detect
detektiv	detective
detergent	detergent
determina	determine
determinad	determined
detrua	destroy
dets	its
deturr	detour
devaluera	devalue
devaluering	devaluation
devel, fan	devil
devijs	device
devota	devote
diabetes	diabetes
diabetiker	diabetic
diafram	diaphragm
diagnose	diagnosis
diagnosera	diagnose
diagonal	diagonal
diagram	diagram
diagram	graph
dialekt	dialect
diamant	diamond
diareje	diarrhoea
dibde	depth
dibdelös, grun	shallow
diett	diet
difera	differ
diferens, unliknes	difference
diferensar, unliknesar	differences
difteri	diphtheria
digestera	digest
digestibel	digestible
digestjon	digestion
digital	digital
dijp	deep
dijp-frijser	deepfreeze
dijsel	diesel
diktafon	dictaphone
diktat	dictation
diktator	dictator
diktera	dictate
diligens	diligence
diligent	diligent
diluta	dilute
dimme	mist
din/jer	your
dinamo	dynamo
diner	dinner
dip	baptism
dipa	baptize
diplom	diploma
diplomat	diplomat
dir	beast
direksjon	direction
direkt	directly
direkt	direct
direktad	directed
direktiv	directive
direktör	manager
direktör	director
dirigent, kondukter	conductor
dis	haze (n)
disagrea	disagree
disapera	disappear
disaproba	disapprove
disarma	disarm (intr)
disarmera	disarm (tr)
disembarka	disembark
disenteri	dysentery
disgrass	disgrace
disgusta	disgust
disgustelig	revolting
disgustelig	disgusting
disig	misty
disig	hazy
disiplin	discipline
diskontinua	discontinue
diskus	disc, disk
diskusjon	discussion
diskutera	discuss
diskutera	discuss
diskutera/argumentera	argue
diskuterad	discussed
dislokatera	dislocate
disolva	dissolve
disolvbar	soluble
disponibel	available
disposisjon	disposal
disputt/disputa	dispute (n/v)
distanse	mileage
distant	distant
distinksjon	distinction
distinkt	distinct
distribusjon	distribution
distrikt	District
disuadera	dissuade
diukerbrilar	goggles
diuktighet	skill
diurka/diurkning	worship (v/n)
divan	couch
divers	diverse
divers, ulike	various
diverse	miscellaneous
diversitet	diversity
diversjon	diversion
divine	divine
divors	divorce
divulga	divulge
döa	die
döad	died
död	death
död	dead
dödelig	mortal
dödelig	lethal
dödelig, fatal	fatal
dok/dokseta	dock (n/v)
doktor	doctor
doktor	Dr
dokument	document
dolar	dollar
dolarar	dollars
dom	judgment
domer	umpire
domer/doma	Judge
domestik	domestic
domestisk	domestic
dominant	dominant
dominera	dominate
dominering	domination
dominjon	dominion
domisil	domicile
domstol/hof	Court
dona	donate
donasjon	donation
doner	donor
dör	door
dörkloke	doorbell
dorlig	bad
dormitori	dormitory
dorn	thorn
dörvokter	door-keeper
dos	dose
dosasje	dosage
dosproklig	bilingual
dotidig	ambiguous
döv	deaf
dra til, dra ot, otstrama tighten
dra tilbaka	withdraw
drad	drawn
drad/teknad	drew
drag	trait (n)
drake	dragon
drakt, kostium/pasa	suit (n/v)
drama	drama
dramatiker	dramatist
dramatisk	dramatic
drenera/avlöp	drain (v/n)
drepa, sloa	kill
drepad, sload	killed
drik	beverage
drink/a	drink
drinkavaten	drinking-water
drinkeglas	tumbler
drinkepengar	gratuity
dristig	bold
dröm/a	dream
droning	queen
dropa/drop	drop
dropad	dropped
drosje	cab
drosjesjoför	cab-driver
druar	grapes
drukna	drown
du er	You're
du hava	you've
du sjelv, dej	yourself
du skal	you'll
du/dej	you (subj/obj)
dubel	double
dubta/dubte	doubt (v/n)
dubtesom, usiker	doubtful
duft	scent
dugg	dew
duka under	succumb
duke	doll
dukka	dive
dukke	puppet
dukketeater	puppet show
dum	mute (adj)
dum	dumb
dum	stupid
dum	silly
dum-sload	dumbstruck
dun	down (n)
dunka/dunke	thump (v/n)
dunkel, uklar	dim
durant	during
durasjon	duration
durkslag	strainer
dusin	dozen
duskrejn	drizzle
dusmörke	dusk
duve	pigeon
dverg/era	dwarf
e-post	e-mail
eble, i stand til	able
ebonie	ebony
Ecuador	Ecuador
ecuadorian	Ecuadorian
ed	oath
edelstejn, juvel	gem
ederdun	eiderdown
ederkop	spider
edukasjon	education
edukasjon	education
edukasjonal	educational
edukera	educate
efekt	effect
efektar	EFFECTS
efektiv	effective
efektiv	efficient
eföu	ivy
efter	after
efterkomer	descendant
efterligna, simulera	simulate
eftermidag	afternoon
efternam	surname
egalisera	equalize
egg	egg
egg-gule	yolk
egga, insita	incite
eggeblomme, egg-gule	egg-yolk
eggeglas	egg-cup
egnet/anfall/pasa	fit (a/n/v)
egoisme	selfishness
egoistisk	egoistic
Egypten	Egypt
egyptisk	Egyptian
eja/egen	own (v/adj)
ejekta	eject
ejekting	ejection
ejendelar	belongings
ejendelar	possessions
ejendom	estate
ejendom	property
ejer	owner
ejer	proprietor
ejk	oak
ejke	spoke (n)
ejkenöt	acorn
ekip	team
ekipera	equip
ekipering	equipment
ekivalent	equivalent
ekko	echo
ekonomi	economics
ekonomisk	thrifty
ekorner	squirrel
eksakt	exact (adj)
eksaktlig, akkurat	exactly
eksamen	examination
eksampel/tilfelde	instance
eksekusjon	execution
eksekusjoner	executioner
eksekuta	execute
eksekutiv	executive
eksekutiv	Executive
ekselent, utmerkad	excellent
eksem	eczema
eksempel	example
eksempel/tilfele	instance
eksempt	exempt
eksemsjon	exemption
eksentrisk	eccentric
eksepsjon, untak	exception
eksepsjonell	exceptional
eksersis/a	exercise
eksersise/a	exercise (n/v)
ekshala	exhale
eksibisjon/eksibera	exhibit (n/v)
eksil	exile
eksistens	EXISTENCE
eksistens/vesen (creature)being (n)
eksistera	exist
eksisterande	existing
eksitta	excite
eksittande	exciting
eksittning	excitement
eksklama	exclaim
eksklamasjon	exclamation
ekskludera	exclude
eksklusiv	exclusive
eksklusivlig	exclusively
ekskursjon	excursion
ekskusa, unsjulda	excuse (v)
ekskuse, unsjuldning	excuse (n)
eksoss/eksossa	exhaust (n/v)
eksotisk	exotic
ekspandera	expand
ekspedisjon	expedition
ekspeditör	shop assistant
ekspektasjon, forventning expectation
ekspelera	expel
ekspenditure	expenditure
ekspens	expense
ekspens	expens
ekspensiv	expensive
eksperiens/a, erfaring/a	experience
eksperienslig, erfaren	experienced (adj)
eksperiment/era	experiment
eksperimentar	experiments
ekspert	expert
eksplisit	explicit
eksplodera	explode
eksplojt/era	exploit (n/v)
eksplora	explore
eksplosiv	explosive
eksplosjon	blast
eksplosjon	explosion
eksponera	expose
eksponering	exposure
eksport	exportation
eksport/era	export (n/v)
eksportar	exports
eksposisjon	exposition
ekspresa	express (v)
ekspresad	expressed
ekspresjon	expression
ekspress	express (a)
ekspress	special delivery
ekstase	ecstasy
ekstase	ecstasy
ekstendera	extend
ekstendera	extend
ekstenderad	extended
ekstensiv	extensive
ekstensjon	extension
ekstent	extent
eksternell	external
ekstingera	extinguish
ekstra	extra
ekstradisjon	extradition
ekstraditera	extradite
ekstraordinari	extraordinary
ekstravagant, overdrivad	extravagant
ekstrem	extreme
ekstrem	extreme
eksuberant	exuberant
ekte	genuine
ekteman, man	husband
ekvator	equator
elabora	elaborate (v)
elaborad	elaborate (a)
elastisk	elastic
elastiskhet	elasticity
eldre	elderly
eldre	elder
elefant	elephant
eleganse	elegance
elegant	elegant
eleksjon	election
elektriker	electrician
elektrisitet	electricity
elektrisk	Electric
elektronik	electronic
elementar	elements
eler	or
eler	nor
elers	else
elers/anenledes	otherwise (conj/adv)
elev	pupil (school)
elfenbejn	ivory
elg	moose
elimina	eliminate
elska/elske	love (v/n)
elskad	loved
elskad	beloved
elsker	lover
elskling	sweetheart
elv	elf
elve	eleven
elvete	eleventh
emalje	enamel
emaljert	enamelled
embarasa	embarrass
emblem	emblem
emigrasjon	emigration
emisjon, utsending	emission
emosjonal	emotional
emosjonn, kensle	emotion
en	an
en	a
en anan	Another
en bit	slightly
en gang	once
en/man	one (num/prn)
enar	ones
end-pip	nozzle
enda	ends
endad	ended
endast, bare	merely
ende	end (purpose)
ende, slutt	end
endelig	at last
endosera	endorse
energi	energy
energisk	energetic
eneste	sole (a)
eneste/bare/men	Only (adj/adv/conj) 
enestoande, singulerr	singular
enfasis	emphasis
eng	meadow
engangs-	disposable
engel	angel
engelsk	English
engelsk mil	mile
engelsman	Englishman
England	Britain
England	England
engslig	worried
engslig, redd	afraid
enhet	unit
enhet	unity
enhetar	units
enighet, agrejment	agreement
enigme	riddle
enigme	enigma
enke	widow
enkel	single
enkling	widower
enligt	according
enn	than
ennu/likvel	yet (adv/conj)
ennu;likvel/stile	still (adv/adj)
enorm	gigantic
enorm	immense
enorm	vast
enorm	huge
enorm	enormous
ensidig	one-sided
ensiklopedie	encyclopedia
ensom	lonely
enstemmig	unanimous
enten	either
enten/heler	either
entitlad	entitled
entreprenör	contractor
entusiasme	enthusiasm
entusiastisk	enthusiastic
enver	everybody
enver	everyone
envia/envie	envy (v/n)
enviös	envious
envis	stubborn
epidemi	epidemic
epilepsi	epilepsy
epilog	epilogue
episode	episode
eple	apple
epos/episk	epic (n/a)
er	is
er	are
er ike	isn't
erad	been
erad enig, agrejad	agreed
erend	errand
ergo	hence
erkebiskop	archbishop
erklerad	stated
erklering	statement
erkleringar	Statements
erlig	honest
erlighet	honesty
erme	sleeve
ert	pea
esel	donkey
esel/derierr	ass
esensjel	essential
esensjel	essential
esensjellig	essentially
eskadrile	squadron
eskalator	escalator
eske/boksa	Box (n/v)
eskorta	escort (v)
eskorte	escort (n)
esplanade	esplanade
essay	essay
essens	essence
estim/a	esteem (n/v)
estuari	estuary
eta	eat
etablera	establish
etablerad	established
etelig	edible
eter	ether
eternell	eternal
eternitet	eternity
etikett/etiketera	label (n/v)
Etiopien	Ethiopia
etiopisk/etioper	Ethiopan
euro	euro
Europa	Europe
Europa	Europe
europeisk	European
europeisk	Eueropean
evakuera	evacuate
evangelium	gospel
even om/emelertid	though
even/jemn	even (adv/adj)
event	event
eventar	events
eventir	adventure
eventiur	fairytale
eventuell, endelig	eventual
evidens, bevis	evidence
evident	evident
evolusjon	evolution
fabel	fable
fabrikant	manufacturer
fabrikera	manufacture
fabrikk	factory
fajanse	faience
fakla, lomelikt	torch
faks, telefaks	fax
fakt	fact
fakt	fact
faktar	facts
faktar, data	data
faktisk	factual
faktisk	actual
faktisk	Actually
faktisk, realt	really
faktor	factor
faktorar	factors
faktura	invoice
fakultet	faculty
fakultet/talent	faculty
falaferdig	ramshackle
fald, söm	hem (n)
fall/a/efteror	fall
fallad	fell
fals	false
fals/forfalsning	fake (a/n)
falsk/blöffer	phoney (a/n)
familij	family
familijar	families
famös, berömad	famous
fanatisk	fanatical
fanga	capture
fanga/gripa	catch
fangevokter	jailer
fantasi	fantasy
fantastisk	fantastic
fantome	phantom
far	father
far	dad
fare	danger
farfar, morfar, bestefar	grandfather
farga av	discolor
farga/farge	dye (v/n)
farge/farga	color (n/v)
farlig	dangerous
farmakologi	pharmacology
farmor, mormor, bestemor	grandmother
farse	farce
farvel, adjö	good-bye
fasade	façade
fase	phase
fasilitejar	facilities
fasilitetar	facilities
